iter	Passed	Remaining
0	151	151109
1	156	78198
2	162	54013
3	167	41694
4	172	34370
5	179	29727
6	184	26169
7	188	23328
8	193	21293
9	198	19661
10	203	18306
11	208	17178
12	214	16267
13	219	15467
14	224	14758
15	230	14181
16	236	13686
17	241	13189
18	247	12797
19	250	12292
20	255	11907
21	261	11614
22	267	11342
23	272	11069
24	277	10836
25	282	10588
26	287	10353
27	293	10172
28	297	9976
29	302	9796
30	307	9624
31	312	9467
32	317	9304
33	322	9157
34	327	9038
35	332	8900
36	336	8767
37	343	8684
38	349	8610
39	354	8515
40	360	8442
41	366	8359
42	372	8291
43	378	8221
44	383	8138
45	387	8045
46	393	7987
47	398	7901
48	403	7836
49	409	7782
50	414	7709
51	418	7632
52	424	7577
53	428	7514
54	433	7453
55	439	7401
56	444	7348
57	449	7305
58	455	7263
59	460	7217
60	465	7161
61	469	7110
62	475	7072
63	479	7015
64	483	6961
65	490	6936
66	495	6899
67	500	6854
68	505	6823
69	510	6780
70	514	6736
71	519	6698
72	525	6676
73	531	6647
74	537	6623
75	541	6585
76	546	6545
77	551	6518
78	557	6495
79	561	6458
80	566	6421
81	571	6398
82	576	6367
83	581	6341
84	587	6328
85	590	6271
86	595	6246
87	598	6204
88	604	6187
89	609	6159
90	613	6130
91	618	6105
92	623	6078
93	628	6059
94	634	6042
95	639	6023
96	645	6006
97	650	5989
98	656	5971
99	661	5957
100	667	5939
101	672	5920
102	677	5900
103	683	5885
104	688	5867
105	693	5848
106	698	5827
107	704	5822
108	710	5809
109	716	5793
110	721	5774
111	725	5751
112	730	5733
113	736	5723
114	740	5701
115	745	5681
116	749	5656
117	754	5639
118	759	5624
119	766	5620
120	770	5600
121	774	5575
122	779	5556
123	784	5543
124	789	5526
125	791	5492
126	796	5474
127	801	5461
128	806	5445
129	811	5427
130	816	5418
131	821	5404
132	826	5386
133	831	5376
134	836	5360
135	841	5344
136	846	5331
137	851	5317
138	856	5302
139	860	5285
140	865	5275
141	871	5264
142	876	5251
143	883	5251
144	888	5240
145	893	5228
146	899	5218
147	902	5194
148	907	5180
149	912	5172
150	918	5163
151	923	5149
152	928	5141
153	934	5132
154	939	5124
155	946	5119
156	951	5109
157	956	5099
158	962	5089
159	967	5077
160	971	5065
161	977	5057
162	982	5045
163	987	5035
164	993	5026
165	995	5003
166	1000	4989
167	1004	4976
168	1009	4963
169	1015	4957
170	1021	4950
171	1027	4945
172	1033	4939
173	1039	4934
174	1045	4928
175	1051	4920
176	1056	4911
177	1062	4904
178	1067	4897
179	1072	4887
180	1079	4884
181	1084	4875
182	1089	4864
183	1094	4853
184	1099	4841
185	1103	4828
186	1105	4806
187	1110	4795
188	1114	4782
189	1118	4768
190	1123	4756
191	1127	4744
192	1131	4732
193	1135	4719
194	1140	4708
195	1144	4696
196	1149	4684
197	1153	4673
198	1158	4664
199	1163	4654
200	1168	4643
201	1174	4639
202	1179	4629
203	1184	4621
204	1189	4614
205	1194	4603
206	1199	4595
207	1204	4587
208	1209	4576
209	1215	4571
210	1220	4563
211	1226	4558
212	1232	4552
213	1238	4548
214	1243	4540
215	1249	4535
216	1251	4515
217	1257	4509
218	1262	4501
219	1266	4490
220	1271	4481
221	1276	4474
222	1281	4465
223	1286	4456
224	1292	4452
225	1297	4442
226	1301	4431
227	1306	4424
228	1311	4414
229	1315	4403
230	1320	4395
231	1325	4387
232	1329	4377
233	1334	4369
234	1341	4367
235	1348	4364
236	1354	4360
237	1358	4350
238	1363	4341
239	1369	4335
240	1375	4330
241	1380	4325
242	1388	4324
243	1394	4319
244	1399	4313
245	1405	4307
246	1409	4298
247	1414	4289
248	1420	4284
249	1425	4275
250	1429	4266
251	1434	4259
252	1439	4250
253	1444	4243
254	1450	4236
255	1455	4229
256	1459	4220
257	1464	4212
258	1470	4206
259	1475	4198
260	1480	4192
261	1482	4177
262	1488	4171
263	1493	4164
264	1499	4158
265	1504	4152
266	1509	4145
267	1514	4137
268	1520	4131
269	1524	4121
270	1528	4112
271	1534	4108
272	1539	4098
273	1543	4089
274	1548	4083
275	1554	4077
276	1558	4069
277	1564	4062
278	1570	4058
279	1575	4052
280	1581	4047
281	1586	4039
282	1590	4030
283	1595	4023
284	1600	4016
285	1606	4009
286	1611	4002
287	1617	3998
288	1622	3991
289	1627	3983
290	1633	3978
291	1638	3971
292	1643	3964
293	1649	3961
294	1655	3955
295	1660	3949
296	1666	3945
297	1672	3940
298	1678	3934
299	1683	3928
300	1685	3914
301	1690	3906
302	1695	3899
303	1701	3895
304	1707	3890
305	1713	3885
306	1718	3879
307	1723	3871
308	1728	3864
309	1733	3857
310	1737	3849
311	1741	3841
312	1747	3834
313	1751	3827
314	1756	3819
315	1762	3815
316	1767	3808
317	1772	3800
318	1777	3793
319	1782	3786
320	1786	3778
321	1792	3773
322	1797	3767
323	1802	3760
324	1806	3752
325	1812	3747
326	1817	3741
327	1823	3735
328	1829	3730
329	1833	3723
330	1838	3716
331	1844	3711
332	1849	3704
333	1854	3697
334	1860	3692
335	1865	3686
336	1871	3681
337	1874	3672
338	1880	3666
339	1885	3659
340	1890	3653
341	1895	3647
342	1900	3640
343	1906	3636
344	1912	3631
345	1916	3622
346	1921	3616
347	1928	3612
348	1933	3606
349	1938	3599
350	1942	3591
351	1947	3585
352	1953	3580
353	1960	3577
354	1965	3571
355	1971	3566
356	1977	3561
357	1979	3550
358	1985	3545
359	1991	3539
360	1996	3533
361	2001	3527
362	2005	3520
363	2010	3513
364	2015	3506
365	2020	3499
366	2025	3493
367	2030	3487
368	2035	3481
369	2040	3474
370	2046	3469
371	2052	3464
372	2058	3460
373	2064	3455
374	2071	3451
375	2076	3446
376	2082	3441
377	2087	3435
378	2093	3430
379	2098	3423
380	2103	3418
381	2108	3410
382	2112	3403
383	2117	3396
384	2122	3389
385	2126	3382
386	2131	3375
387	2137	3371
388	2141	3364
389	2146	3357
390	2152	3352
391	2157	3346
392	2161	3339
393	2167	3333
394	2172	3327
395	2177	3321
396	2183	3316
397	2188	3310
398	2194	3305
399	2199	3299
400	2204	3293
401	2209	3286
402	2214	3280
403	2219	3274
404	2224	3268
405	2229	3262
406	2235	3256
407	2241	3251
408	2246	3245
409	2251	3240
410	2256	3233
411	2260	3226
412	2265	3220
413	2271	3215
414	2276	3208
415	2281	3203
416	2287	3197
417	2291	3190
418	2296	3184
419	2302	3179
420	2306	3172
421	2311	3165
422	2316	3159
423	2321	3153
424	2327	3149
425	2334	3145
426	2339	3139
427	2346	3135
428	2352	3130
429	2356	3124
430	2363	3119
431	2368	3113
432	2372	3106
433	2378	3101
434	2383	3095
435	2388	3089
436	2394	3084
437	2400	3080
438	2406	3074
439	2411	3069
440	2417	3063
441	2422	3058
442	2428	3053
443	2434	3048
444	2439	3042
445	2444	3036
446	2451	3032
447	2455	3026
448	2460	3019
449	2466	3014
450	2471	3008
451	2476	3002
452	2482	2997
453	2488	2992
454	2494	2987
455	2499	2981
456	2505	2976
457	2511	2971
458	2517	2967
459	2522	2961
460	2525	2953
461	2531	2947
462	2536	2941
463	2541	2936
464	2547	2931
465	2553	2926
466	2559	2921
467	2565	2915
468	2571	2910
469	2576	2905
470	2581	2899
471	2586	2893
472	2592	2888
473	2598	2883
474	2603	2877
475	2609	2872
476	2614	2866
477	2619	2860
478	2625	2855
479	2630	2849
480	2635	2843
481	2641	2839
482	2647	2833
483	2652	2827
484	2658	2823
485	2664	2818
486	2669	2812
487	2675	2806
488	2679	2800
489	2684	2793
490	2688	2787
491	2693	2780
492	2697	2774
493	2701	2767
494	2706	2761
495	2711	2755
496	2715	2748
497	2720	2742
498	2725	2736
499	2729	2729
500	2734	2723
501	2740	2718
502	2745	2712
503	2750	2706
504	2755	2701
505	2760	2694
506	2765	2689
507	2770	2683
508	2776	2677
509	2780	2671
510	2785	2666
511	2791	2660
512	2796	2654
513	2800	2647
514	2805	2642
515	2810	2635
516	2814	2629
517	2819	2623
518	2824	2617
519	2829	2611
520	2834	2605
521	2839	2600
522	2845	2595
523	2851	2590
524	2856	2584
525	2860	2578
526	2865	2571
527	2871	2566
528	2876	2561
529	2880	2554
530	2886	2549
531	2890	2543
532	2895	2536
533	2900	2530
534	2904	2524
535	2909	2518
536	2913	2512
537	2918	2506
538	2923	2500
539	2927	2494
540	2933	2488
541	2938	2483
542	2943	2477
543	2948	2471
544	2953	2465
545	2958	2459
546	2963	2453
547	2966	2446
548	2970	2440
549	2975	2434
550	2981	2429
551	2986	2424
552	2992	2418
553	2998	2413
554	3003	2408
555	3008	2402
556	3013	2396
557	3019	2391
558	3024	2386
559	3030	2381
560	3035	2375
561	3040	2369
562	3044	2363
563	3050	2357
564	3054	2351
565	3059	2345
566	3064	2339
567	3069	2334
568	3074	2328
569	3079	2323
570	3085	2317
571	3091	2312
572	3096	2307
573	3101	2302
574	3107	2296
575	3113	2291
576	3117	2285
577	3122	2279
578	3128	2274
579	3133	2269
580	3138	2263
581	3142	2257
582	3147	2251
583	3152	2245
584	3157	2240
585	3162	2234
586	3166	2228
587	3171	2222
588	3176	2216
589	3180	2210
590	3185	2204
591	3190	2199
592	3196	2193
593	3200	2187
594	3204	2180
595	3208	2174
596	3213	2169
597	3219	2163
598	3223	2158
599	3230	2153
600	3234	2147
601	3239	2142
602	3245	2137
603	3250	2131
604	3255	2125
605	3260	2120
606	3265	2113
607	3269	2108
608	3274	2102
609	3279	2096
610	3283	2090
611	3288	2084
612	3294	2079
613	3300	2074
